branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_10,2018-10-06,AREAID_8,REGIONID_JT,2016-09-10,1174,6,>10%,2200,45,1
POINTID_97,2018-10-06,AREAID_15,REGION_JR1,2018-07-21,432,2,0%,1250,65,10
POINTID_51,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1541,8,>10%,3100,10,1
POINTID_92,2018-10-06,AREAID_4,REGION_JH,2018-07-28,248,2,0%,600,110,20
POINTID_99,2018-10-06,AREAID_17,REGION_JH,2018-08-18,134,1,0%,300,65,24
POINTID_104,2018-10-06,AREAID_12,REGION_JR1,2018-09-15,43,1,0%,100,40,14
POINTID_47,2018-10-06,AREAID_21,REGION_JR1,2017-09-16,2525,8,0%,4600,90,3
POINTID_39,2018-10-06,AREAID_14,REGION_JR2,2017-08-19,2150,5,0%,4800,150,2
POINTID_42,2018-10-06,AREAID_27,REGION_JR1,2017-09-09,1110,5,1%-2.5%,2250,10,3
POINTID_15,2018-10-06,AREAID_8,REGIONID_JT,2016-11-12,1830,9,>10%,4250,55,0
POINTID_44,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1678,9,5%-10%,3200,80,4
POINTID_87,2018-10-06,AREAID_16,REGIONID_JT,2018-07-21,410,3,0%,1250,35,6
POINTID_46,2018-10-06,AREAID_21,REGION_JR1,2017-09-16,1998,8,0%-1%,4500,130,5
POINTID_28,2018-10-06,AREAID_20,REGION_JH,2017-06-03,1147,5,5%-10%,1950,65,4
POINTID_60,2018-10-06,AREAID_25,REGIONID_JT,2018-04-28,601,3,0%,1550,120,13
POINTID_89,2018-10-06,AREAID_11,REGION_JH,2018-07-28,196,2,0%,450,25,5
POINTID_35,2018-10-06,AREAID_1,REGION_JH,2017-07-29,1519,6,5%-10%,2500,110,2
POINTID_33,2018-10-06,AREAID_27,REGION_JR1,2017-07-22,996,3,>10%,2250,0,
POINTID_19,2018-10-06,AREAID_7,REGIONID_N,2017-04-15,1924,8,5%-10%,4150,140,5
POINTID_82,2018-10-06,AREAID_9,REGIONID_N,2018-07-21,370,2,0%,1100,50,8
POINTID_67,2018-10-06,AREAID_5,REGIONID_N,2018-04-28,941,4,0%,2500,65,7
POINTID_73,2018-10-06,AREAID_16,REGIONID_JT,2018-05-26,512,3,0%,1400,20,4
POINTID_72,2018-10-06,AREAID_19,REGIONID_JT,2018-05-19,523,3,0%,1300,40,7
POINTID_40,2018-10-06,AREAID_14,REGION_JR2,2017-08-26,2051,6,0%,4350,45,3
POINTID_93,2018-10-06,AREAID_23,REGION_JR2,2018-07-28,516,3,0%,1400,125,15
POINTID_54,2018-10-06,AREAID_24,REGIONID_JT,2017-11-11,1482,7,0%,2800,215,9
POINTID_113,2018-10-06,AREAID_3,REGION_JR2,2018-09-29,8,1,0%,0,20,8
POINTID_66,2018-10-06,AREAID_2,REGION_JR1,2018-05-26,705,3,0%,1800,300,34
POINTID_36,2018-10-06,AREAID_1,REGION_JH,2017-08-12,1505,6,5%-10%,3050,65,6
POINTID_48,2018-10-06,AREAID_21,REGION_JR1,2017-09-09,1739,8,1%-2.5%,3550,100,7
POINTID_20,2018-10-06,AREAID_7,REGIONID_N,2017-04-22,1741,7,>10%,3800,45,1
POINTID_75,2018-10-06,AREAID_6,REGIONID_JT,2018-05-26,577,2,0%,1550,130,20
POINTID_30,2018-10-06,AREAID_14,REGION_JR2,2017-07-29,2671,7,0%,6050,185,3
POINTID_80,2018-10-06,AREAID_26,REGIONID_N,2018-07-21,204,2,0%,550,90,27
POINTID_31,2018-10-06,AREAID_14,REGION_JR2,2017-07-29,2477,5,0%,5050,45,2
POINTID_12,2018-10-06,AREAID_30,REGIONID_JT,2016-10-08,1440,10,0%-1%,3200,125,2
POINTID_79,2018-10-06,AREAID_28,REGION_JR1,2018-08-04,246,2,0%,700,105,36
POINTID_112,2018-10-06,AREAID_3,REGION_JR2,2018-09-29,18,1,0%,50,50,9
POINTID_65,2018-10-06,AREAID_2,REGION_JR1,2018-05-26,570,3,0%,1450,210,18
POINTID_102,2018-10-06,AREAID_26,REGIONID_N,2018-08-04,223,2,0%,600,45,8
POINTID_108,2018-10-06,AREAID_28,REGION_JR1,2018-08-18,298,2,0%,850,110,19
POINTID_106,2018-10-06,AREAID_22,REGIONID_JT,2018-08-25,115,2,0%,300,90,15
POINTID_88,2018-10-06,AREAID_10,REGIONID_JT,2018-09-08,117,2,0%,300,45,8
POINTID_111,2018-10-06,AREAID_12,REGION_JR1,2018-09-22,25,3,0%,50,40,7
POINTID_38,2018-10-06,AREAID_1,REGION_JH,2017-08-12,1512,6,2.5%-5%,2750,30,0
POINTID_52,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1905,8,0%,3850,155,5
